_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,STYLE,BARCODE,POSTERBOARD,POSTERBOARDSTATUS,SDE_STATE_ID,geometry
1,15,SH-00234,1,Winter Gardens Trl,Port Union Rd,,Winter Gardens Trl,,,25,,Standard Daytech,Existing,Daytech,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.1388027108006, 43.7852104517018]]}"
2,17,SH-03390,1,Glen Watford Dr,Sheppard Ave E,North,Glen Watford Dr,East,T6054,23,Sheppard East Village,C,Existing,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.275767197261, 43.7861379185644]]}"
3,19,SH-01227,7600,Sheppard Ave E,,,Morningside Ave,,T9319,25,,D,Temporarily Removed,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2004362071333, 43.8019761111948]]}"
4,21,SH-01412,1200,Eglinton Ave E,Eglinton Ave E,North,Dvp S Eglinton Ramp,East,T2267,16,,A,Temporarily Removed,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3314845851113, 43.7229614440052]]}"
5,25,SH-03400,443,Queen St W,Queen St W,South,Spadina Ave,West,T6853,10,Queen Street West,B,Temporarily Removed,Enseicom,,Yes,Permanently Removed,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3966410731238, 43.6486182708151]]}"
6,30,SH-02130,220X,The East Mall,,,Yarn Rd,,,03,,Standard Daytech,Temporarily Removed,Daytech,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5534542115062, 43.6320274691068]]}"
7,33,SH-02664,245,Eglinton Ave E,Eglinton Ave E,South,Taunton Rd,West,T9113,15,Mount Pleasant Village,B,Temporarily Removed,Enseicom,,Yes,Temporarily Removed,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3892401842983, 43.708493638347]]}"
8,41,SH-01743,2606,St Clair Ave W,,,Jane St,,T13308,05,,A,Existing,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.4914618909566, 43.6673374460797]]}"
9,45,SH-00297,6705,Sheppard Ave E,Neilson Rd,East,Sheppard Ave E,South,T1400,25,,A,Existing,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.217361016088, 43.7979298846978]]}"
10,48,SH-01268,294,Yonge St,Dundas St W,South,Yonge St,West,T2197,13,Downtown Yonge,B,Existing,Enseicom,,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3811303948228, 43.656210754526]]}"
11,49,SH-00247,580,Rathburn Rd,Rathburn Rd,North,Centennial Park Rd,West,T1501,02,,A,Existing,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5817990025372, 43.6507154778785]]}"
12,50,SH-03579,7,Field Sparroway,Finch Ave E,North,Leslie St,West,T2519,17,,B,Existing,Enseicom,,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.369201358834, 43.7901560130755]]}"
13,52,SH-03148,66,Lunsfield Cres,Mccowan Rd,West,Sandhurst Crcl,North,T1316,23,,A,Existing,Enseicom,,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2655400630756, 43.8053159025531]]}"
14,61,SH-01983,43,Eglinton Ave E,Eglinton Ave E,South,Holly St,West,T3538,12,,B,Temporarily Removed,Enseicom,,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3971392360397, 43.7069050042631]]}"
15,62,SH-03346,1,Thompson Rd,Thompson Ave,South,Ian Macdonald Blvd,West,,07,,Standard Ancaster,Existing,Ancaster,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.5098001657189, 43.7748066026542]]}"
16,65,SH-03367,5810,Sheppard Ave E,Sheppard Ave E,North,Gateforth Dr,East,T9965,23,,D,Existing,Enseicom,,Yes,Existing,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2301099748914, 43.7957889641831]]}"
17,68,SH-02812,607,Eglinton Ave E,Eglinton Ave E,South,Bayview Ave,West,T2238,15,,A,Temporarily Removed,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3774236876369, 43.710892773892]]}"
18,69,SH-03483,10,Life Saving Dr,Wellness Way,East,Life Saving Dr,North,,15,,Standard Daytech,Existing,Daytech,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.3776950271777, 43.7215320904042]]}"
19,70,SH-03913,1095,Neilson Rd,Neilson Rd,East,Sewells Rd,South,T1399,25,,D,Existing,Enseicom,,No,,0,"{'type': 'MultiPoint', 'coordinates': [[-79.2183141764957, 43.8064133599553]]}"
